x_coord	y_coord	conditions	clusters	energy
8.321065	-7.7024813	WT	Cluster3	10.1
56.4114	1.0560895	WT	Cluster1	7.7
-24.627943	-28.314863	WT	Cluster3	7.9
-62.19949	15.577903	WT	Cluster0	10.4
4.5118833	-48.3369	WT	Cluster3	10.6
-43.5394	56.10138	WT	Cluster2	10.6
-12.810957	-51.416805	WT	Cluster3	4.8
-34.821228	49.01385	WT	Cluster2	10.6
0.26540884	-41.60316	WT	Cluster3	10.6
-19.346542	-35.245342	WT	Cluster3	11.5
85.21861	-17.366838	WT	Cluster4	7.6
35.300545	26.04739	WT	Cluster1	7.6
56.373554	-47.080975	WT	Cluster4	7.9
-78.57788	12.749524	WT	Cluster0	10.6
67.987114	-33.892406	WT	Cluster4	10.4
7.628776	-34.423054	WT	Cluster3	9.3
67.0587	-15.756551	WT	Cluster4	7.8
-82.039665	4.4669094	WT	Cluster0	11.3
2.6878412	-28.312914	WT	Cluster3	9.3
-43.180283	14.203569	WT	Cluster0	10.6
-59.770493	-27.82248	WT	Cluster0	10.6
-24.89314	-27.95762	WT	Cluster3	10.6
1.3386263	-46.97215	WT	Cluster3	12.1
-59.179394	-0.2714088	WT	Cluster0	10.6
10.139305	-35.85501	WT	Cluster3	9.3
-83.86434	4.0397544	WT	Cluster0	10.6
-5.0905313	-47.16477	WT	Cluster3	10.4
46.249714	14.895208	WT	Cluster1	7.6
-16.941149	-18.973255	WT	Cluster3	9.5
34.98222	24.498093	WT	Cluster1	7.8
-38.86444	47.769413	WT	Cluster2	10.6
88.06209	-16.532663	WT	Cluster4	7.8
-1.3673817	-34.010662	WT	Cluster3	9.5
81.89675	-10.829478	WT	Cluster4	8.2
28.488108	29.828968	WT	Cluster1	7.6
-78.59586	7.4576387	WT	Cluster0	10.6
-47.679928	14.319147	WT	Cluster0	10.4
-70.76572	7.266949	WT	Cluster0	10.6
4.5068784	-38.61	WT	Cluster3	9.5
31.021729	21.407396	WT	Cluster1	8.2
7.9967375	-14.556369	WT	Cluster3	9.8
-89.69028	-4.804727	WT	Cluster0	10.6
89.08818	-23.28179	WT	Cluster4	7.8
67.68668	-31.571396	WT	Cluster4	11.3
-0.19028391	-42.137867	WT	Cluster3	10.4
7.105926	2.0542617	WT	Cluster3	9.8
41.225517	32.271317	WT	Cluster1	7.6
51.542824	15.998549	WT	Cluster1	7.8
26.202494	30.648512	WT	Cluster1	7.7
8.218946	-27.71489	WT	Cluster3	10.4
-85.84278	-0.041592125	WT	Cluster0	10.4
6.8315477	-37.61422	WT	Cluster3	9.3
62.456844	-11.408552	WT	Cluster4	7.5
89.420395	-16.171476	WT	Cluster4	7.8
26.117758	28.71624	WT	Cluster1	8.2
88.22783	-22.781658	WT	Cluster4	10.6
58.369484	1.5466416	WT	Cluster4	9.1
8.932043	3.6138299	WT	Cluster3	5.5
14.527462	-40.669216	WT	Cluster3	9.3
30.065891	26.472069	WT	Cluster1	7.6
1.8765798	7.772185	WT	Cluster3	15.8
67.85485	-12.991194	WT	Cluster4	7.8
-2.748554	-58.008465	WT	Cluster3	8.1
3.146794	-25.387753	WT	Cluster3	9.3
74.10755	-22.186998	WT	Cluster4	7.6
-13.622889	-33.715885	WT	Cluster3	10.4
81.26307	-17.541601	WT	Cluster4	7.6
63.790436	10.483496	WT	Cluster1	7.8
-14.697568	-29.161732	WT	Cluster3	8.1
5.745549	-2.910965	WT	Cluster3	10.2
